disability,geo_code,geo_level,sex,total,geo_version
Blind/low vision,24008,local,Female,48,2016
Blind/low vision,24008,local,Male,50,2016
Deaf/hard of hearing,24008,local,Female,21,2016
Deaf/hard of hearing,24008,local,Male,24,2016
Deaf-Blind,24008,local,Female,7,2016
Deaf-Blind,24008,local,Male,4,2016
Intellectual disable,24008,local,Female,8,2016
Intellectual disable,24008,local,Male,6,2016
Mental disable,24008,local,Female,16,2016
Mental disable,24008,local,Male,26,2016
Multiple disable,24008,local,Female,17,2016
Multiple disable,24008,local,Male,18,2016
No disability,24008,local,Female,17118,2016
No disability,24008,local,Male,15029,2016
Physical,24008,local,Female,72,2016
Physical,24008,local,Male,120,2016
Speech problem,24008,local,Female,32,2016
Speech problem,24008,local,Male,43,2016
Blind/low vision,24002,local,Female,22,2016
Blind/low vision,24002,local,Male,22,2016
Deaf/hard of hearing,24002,local,Female,22,2016
Deaf/hard of hearing,24002,local,Male,16,2016
Deaf-Blind,24002,local,Female,0,2016
Deaf-Blind,24002,local,Male,5,2016
Intellectual disable,24002,local,Female,5,2016
Intellectual disable,24002,local,Male,4,2016
Mental disable,24002,local,Female,13,2016
Mental disable,24002,local,Male,9,2016
Multiple disable,24002,local,Female,11,2016
Multiple disable,24002,local,Male,8,2016
No disability,24002,local,Female,8944,2016
No disability,24002,local,Male,7514,2016
Physical,24002,local,Female,60,2016
Physical,24002,local,Male,71,2016
Speech problem,24002,local,Female,21,2016
Speech problem,24002,local,Male,30,2016
Blind/low vision,24012,local,Female,32,2016
Blind/low vision,24012,local,Male,33,2016
Deaf/hard of hearing,24012,local,Female,26,2016
Deaf/hard of hearing,24012,local,Male,24,2016
Deaf-Blind,24012,local,Female,6,2016
Deaf-Blind,24012,local,Male,8,2016
Intellectual disable,24012,local,Female,11,2016
Intellectual disable,24012,local,Male,9,2016
Mental disable,24012,local,Female,13,2016
Mental disable,24012,local,Male,13,2016
Multiple disable,24012,local,Female,19,2016
Multiple disable,24012,local,Male,14,2016
No disability,24012,local,Female,15025,2016
No disability,24012,local,Male,13323,2016
Physical,24012,local,Female,49,2016
Physical,24012,local,Male,67,2016
Speech problem,24012,local,Female,34,2016
Speech problem,24012,local,Male,40,2016
Blind/low vision,24005,local,Female,34,2016
Blind/low vision,24005,local,Male,25,2016
Deaf/hard of hearing,24005,local,Female,49,2016
Deaf/hard of hearing,24005,local,Male,40,2016
Deaf-Blind,24005,local,Female,6,2016
Deaf-Blind,24005,local,Male,8,2016
Intellectual disable,24005,local,Female,8,2016
Intellectual disable,24005,local,Male,8,2016
Mental disable,24005,local,Female,22,2016
Mental disable,24005,local,Male,27,2016
Multiple disable,24005,local,Female,14,2016
Multiple disable,24005,local,Male,9,2016
No disability,24005,local,Female,16433,2016
No disability,24005,local,Male,15233,2016
Physical,24005,local,Female,80,2016
Physical,24005,local,Male,95,2016
Speech problem,24005,local,Female,32,2016
Speech problem,24005,local,Male,39,2016
Blind/low vision,24006,local,Female,37,2016
Blind/low vision,24006,local,Male,29,2016
Deaf/hard of hearing,24006,local,Female,13,2016
Deaf/hard of hearing,24006,local,Male,10,2016
Deaf-Blind,24006,local,Female,11,2016
Deaf-Blind,24006,local,Male,8,2016
Intellectual disable,24006,local,Female,7,2016
Intellectual disable,24006,local,Male,5,2016
Mental disable,24006,local,Female,7,2016
Mental disable,24006,local,Male,10,2016
Multiple disable,24006,local,Female,13,2016
Multiple disable,24006,local,Male,11,2016
No disability,24006,local,Female,7185,2016
No disability,24006,local,Male,6891,2016
Physical,24006,local,Female,49,2016
Physical,24006,local,Male,69,2016
Speech problem,24006,local,Female,12,2016
Speech problem,24006,local,Male,31,2016
Blind/low vision,24009,local,Female,31,2016
Blind/low vision,24009,local,Male,41,2016
Deaf/hard of hearing,24009,local,Female,24,2016
Deaf/hard of hearing,24009,local,Male,21,2016
Deaf-Blind,24009,local,Female,8,2016
Deaf-Blind,24009,local,Male,9,2016
Intellectual disable,24009,local,Female,8,2016
Intellectual disable,24009,local,Male,6,2016
Mental disable,24009,local,Female,21,2016
Mental disable,24009,local,Male,15,2016
Multiple disable,24009,local,Female,18,2016
Multiple disable,24009,local,Male,32,2016
No disability,24009,local,Female,15719,2016
No disability,24009,local,Male,13339,2016
Physical,24009,local,Female,61,2016
Physical,24009,local,Male,95,2016
Speech problem,24009,local,Female,25,2016
Speech problem,24009,local,Male,46,2016
Blind/low vision,24004,local,Female,87,2016
Blind/low vision,24004,local,Male,51,2016
Deaf/hard of hearing,24004,local,Female,76,2016
Deaf/hard of hearing,24004,local,Male,72,2016
Deaf-Blind,24004,local,Female,11,2016
Deaf-Blind,24004,local,Male,10,2016
Intellectual disable,24004,local,Female,5,2016
Intellectual disable,24004,local,Male,10,2016
Mental disable,24004,local,Female,26,2016
Mental disable,24004,local,Male,27,2016
Multiple disable,24004,local,Female,24,2016
Multiple disable,24004,local,Male,22,2016
No disability,24004,local,Female,10990,2016
No disability,24004,local,Male,9083,2016
Physical,24004,local,Female,106,2016
Physical,24004,local,Male,154,2016
Speech problem,24004,local,Female,36,2016
Speech problem,24004,local,Male,39,2016
Blind/low vision,24013,local,Female,52,2016
Blind/low vision,24013,local,Male,68,2016
Deaf/hard of hearing,24013,local,Female,51,2016
Deaf/hard of hearing,24013,local,Male,38,2016
Deaf-Blind,24013,local,Female,17,2016
Deaf-Blind,24013,local,Male,19,2016
Intellectual disable,24013,local,Female,9,2016
Intellectual disable,24013,local,Male,6,2016
Mental disable,24013,local,Female,15,2016
Mental disable,24013,local,Male,15,2016
Multiple disable,24013,local,Female,27,2016
Multiple disable,24013,local,Male,22,2016
No disability,24013,local,Female,11818,2016
No disability,24013,local,Male,10270,2016
Physical,24013,local,Female,94,2016
Physical,24013,local,Male,98,2016
Speech problem,24013,local,Female,46,2016
Speech problem,24013,local,Male,47,2016
Blind/low vision,24003,local,Female,48,2016
Blind/low vision,24003,local,Male,39,2016
Deaf/hard of hearing,24003,local,Female,41,2016
Deaf/hard of hearing,24003,local,Male,46,2016
Deaf-Blind,24003,local,Female,23,2016
Deaf-Blind,24003,local,Male,18,2016
Intellectual disable,24003,local,Female,3,2016
Intellectual disable,24003,local,Male,5,2016
Mental disable,24003,local,Female,14,2016
Mental disable,24003,local,Male,15,2016
Multiple disable,24003,local,Female,16,2016
Multiple disable,24003,local,Male,22,2016
No disability,24003,local,Female,9869,2016
No disability,24003,local,Male,8562,2016
Physical,24003,local,Female,58,2016
Physical,24003,local,Male,82,2016
Speech problem,24003,local,Female,28,2016
Speech problem,24003,local,Male,27,2016
Blind/low vision,35,district,Female,1711,2016
Blind/low vision,35,district,Male,1854,2016
Deaf/hard of hearing,35,district,Female,1224,2016
Deaf/hard of hearing,35,district,Male,1101,2016
Deaf-Blind,35,district,Female,159,2016
Deaf-Blind,35,district,Male,147,2016
Intellectual disable,35,district,Female,247,2016
Intellectual disable,35,district,Male,318,2016
Mental disable,35,district,Female,535,2016
Mental disable,35,district,Male,577,2016
Multiple disable,35,district,Female,501,2016
Multiple disable,35,district,Male,583,2016
No disability,35,district,Female,811978,2016
No disability,35,district,Male,870954,2016
Physical,35,district,Female,2442,2016
Physical,35,district,Male,3204,2016
Speech problem,35,district,Female,783,2016
Speech problem,35,district,Male,971,2016
Blind/low vision,27006,local,Female,949,2016
Blind/low vision,27006,local,Male,1047,2016
Deaf/hard of hearing,27006,local,Female,634,2016
Deaf/hard of hearing,27006,local,Male,554,2016
Deaf-Blind,27006,local,Female,80,2016
Deaf-Blind,27006,local,Male,77,2016
Intellectual disable,27006,local,Female,143,2016
Intellectual disable,27006,local,Male,196,2016
Mental disable,27006,local,Female,271,2016
Mental disable,27006,local,Male,307,2016
Multiple disable,27006,local,Female,233,2016
Multiple disable,27006,local,Male,270,2016
No disability,27006,local,Female,459717,2016
No disability,27006,local,Male,507270,2016
Physical,27006,local,Female,1181,2016
Physical,27006,local,Male,1615,2016
Speech problem,27006,local,Female,404,2016
Speech problem,27006,local,Male,505,2016
Blind/low vision,27002,local,Female,128,2016
Blind/low vision,27002,local,Male,122,2016
Deaf/hard of hearing,27002,local,Female,74,2016
Deaf/hard of hearing,27002,local,Male,68,2016
Deaf-Blind,27002,local,Female,8,2016
Deaf-Blind,27002,local,Male,9,2016
Intellectual disable,27002,local,Female,13,2016
Intellectual disable,27002,local,Male,21,2016
Mental disable,27002,local,Female,28,2016
Mental disable,27002,local,Male,33,2016
Multiple disable,27002,local,Female,28,2016
Multiple disable,27002,local,Male,50,2016
No disability,27002,local,Female,41865,2016
No disability,27002,local,Male,42365,2016
Physical,27002,local,Female,119,2016
Physical,27002,local,Male,164,2016
Speech problem,27002,local,Female,54,2016
Speech problem,27002,local,Male,49,2016
Blind/low vision,27005,local,Female,42,2016
Blind/low vision,27005,local,Male,45,2016
Deaf/hard of hearing,27005,local,Female,51,2016
Deaf/hard of hearing,27005,local,Male,48,2016
Deaf-Blind,27005,local,Female,11,2016
Deaf-Blind,27005,local,Male,3,2016
Intellectual disable,27005,local,Female,10,2016
Intellectual disable,27005,local,Male,6,2016
Mental disable,27005,local,Female,19,2016
Mental disable,27005,local,Male,27,2016
Multiple disable,27005,local,Female,21,2016
Multiple disable,27005,local,Male,21,2016
No disability,27005,local,Female,29713,2016
No disability,27005,local,Male,29927,2016
Physical,27005,local,Female,103,2016
Physical,27005,local,Male,110,2016
Speech problem,27005,local,Female,34,2016
Speech problem,27005,local,Male,46,2016
Blind/low vision,27001,local,Female,91,2016
Blind/low vision,27001,local,Male,81,2016
Deaf/hard of hearing,27001,local,Female,91,2016
Deaf/hard of hearing,27001,local,Male,68,2016
Deaf-Blind,27001,local,Female,14,2016
Deaf-Blind,27001,local,Male,19,2016
Intellectual disable,27001,local,Female,12,2016
Intellectual disable,27001,local,Male,12,2016
Mental disable,27001,local,Female,39,2016
Mental disable,27001,local,Male,38,2016
Multiple disable,27001,local,Female,42,2016
Multiple disable,27001,local,Male,41,2016
No disability,27001,local,Female,53220,2016
No disability,27001,local,Male,53662,2016
Physical,27001,local,Female,167,2016
Physical,27001,local,Male,202,2016
Speech problem,27001,local,Female,57,2016
Speech problem,27001,local,Male,62,2016
Blind/low vision,27004,local,Female,74,2016
Blind/low vision,27004,local,Male,74,2016
Deaf/hard of hearing,27004,local,Female,50,2016
Deaf/hard of hearing,27004,local,Male,52,2016
Deaf-Blind,27004,local,Female,10,2016
Deaf-Blind,27004,local,Male,9,2016
Intellectual disable,27004,local,Female,13,2016
Intellectual disable,27004,local,Male,18,2016
Mental disable,27004,local,Female,29,2016
Mental disable,27004,local,Male,31,2016
Multiple disable,27004,local,Female,28,2016
Multiple disable,27004,local,Male,23,2016
No disability,27004,local,Female,53213,2016
No disability,27004,local,Male,53255,2016
Physical,27004,local,Female,164,2016
Physical,27004,local,Male,208,2016
Speech problem,27004,local,Female,45,2016
Speech problem,27004,local,Male,55,2016
Blind/low vision,27003,local,Female,65,2016
Blind/low vision,27003,local,Male,50,2016
Deaf/hard of hearing,27003,local,Female,49,2016
Deaf/hard of hearing,27003,local,Male,54,2016
Deaf-Blind,27003,local,Female,6,2016
Deaf-Blind,27003,local,Male,4,2016
Intellectual disable,27003,local,Female,7,2016
Intellectual disable,27003,local,Male,15,2016
Mental disable,27003,local,Female,25,2016
Mental disable,27003,local,Male,23,2016
Multiple disable,27003,local,Female,23,2016
Multiple disable,27003,local,Male,28,2016
No disability,27003,local,Female,12038,2016
No disability,27003,local,Male,11483,2016
Physical,27003,local,Female,183,2016
Physical,27003,local,Male,175,2016
Speech problem,27003,local,Female,28,2016
Speech problem,27003,local,Male,41,2016
Blind/low vision,27008,local,Female,123,2016
Blind/low vision,27008,local,Male,157,2016
Deaf/hard of hearing,27008,local,Female,53,2016
Deaf/hard of hearing,27008,local,Male,50,2016
Deaf-Blind,27008,local,Female,5,2016
Deaf-Blind,27008,local,Male,1,2016
Intellectual disable,27008,local,Female,7,2016
Intellectual disable,27008,local,Male,13,2016
Mental disable,27008,local,Female,17,2016
Mental disable,27008,local,Male,25,2016
Multiple disable,27008,local,Female,33,2016
Multiple disable,27008,local,Male,44,2016
No disability,27008,local,Female,32968,2016
No disability,27008,local,Male,33595,2016
Physical,27008,local,Female,134,2016
Physical,27008,local,Male,150,2016
Speech problem,27008,local,Female,16,2016
Speech problem,27008,local,Male,29,2016
Blind/low vision,27009,local,Female,28,2016
Blind/low vision,27009,local,Male,36,2016
Deaf/hard of hearing,27009,local,Female,28,2016
Deaf/hard of hearing,27009,local,Male,25,2016
Deaf-Blind,27009,local,Female,4,2016
Deaf-Blind,27009,local,Male,6,2016
Intellectual disable,27009,local,Female,2,2016
Intellectual disable,27009,local,Male,5,2016
Mental disable,27009,local,Female,13,2016
Mental disable,27009,local,Male,12,2016
Multiple disable,27009,local,Female,12,2016
Multiple disable,27009,local,Male,12,2016
No disability,27009,local,Female,12843,2016
No disability,27009,local,Male,12165,2016
Physical,27009,local,Female,43,2016
Physical,27009,local,Male,66,2016
Speech problem,27009,local,Female,19,2016
Speech problem,27009,local,Male,19,2016
Blind/low vision,27007,local,Female,77,2016
Blind/low vision,27007,local,Male,94,2016
Deaf/hard of hearing,27007,local,Female,64,2016
Deaf/hard of hearing,27007,local,Male,62,2016
Deaf-Blind,27007,local,Female,5,2016
Deaf-Blind,27007,local,Male,5,2016
Intellectual disable,27007,local,Female,9,2016
Intellectual disable,27007,local,Male,10,2016
Mental disable,27007,local,Female,20,2016
Mental disable,27007,local,Male,35,2016
Multiple disable,27007,local,Female,14,2016
Multiple disable,27007,local,Male,24,2016
No disability,27007,local,Female,28809,2016
No disability,27007,local,Male,36062,2016
Physical,27007,local,Female,91,2016
Physical,27007,local,Male,134,2016
Speech problem,27007,local,Female,37,2016
Speech problem,27007,local,Male,50,2016
Blind/low vision,27010,local,Female,85,2016
Blind/low vision,27010,local,Male,85,2016
Deaf/hard of hearing,27010,local,Female,76,2016
Deaf/hard of hearing,27010,local,Male,68,2016
Deaf-Blind,27010,local,Female,12,2016
Deaf-Blind,27010,local,Male,8,2016
Intellectual disable,27010,local,Female,16,2016
Intellectual disable,27010,local,Male,11,2016
Mental disable,27010,local,Female,38,2016
Mental disable,27010,local,Male,17,2016
Multiple disable,27010,local,Female,39,2016
Multiple disable,27010,local,Male,34,2016
No disability,27010,local,Female,39643,2016
No disability,27010,local,Male,40935,2016
Physical,27010,local,Female,112,2016
Physical,27010,local,Male,157,2016
Speech problem,27010,local,Female,46,2016
Speech problem,27010,local,Male,61,2016
Blind/low vision,27011,local,Female,49,2016
Blind/low vision,27011,local,Male,63,2016
Deaf/hard of hearing,27011,local,Female,54,2016
Deaf/hard of hearing,27011,local,Male,52,2016
Deaf-Blind,27011,local,Female,4,2016
Deaf-Blind,27011,local,Male,6,2016
Intellectual disable,27011,local,Female,15,2016
Intellectual disable,27011,local,Male,11,2016
Mental disable,27011,local,Female,36,2016
Mental disable,27011,local,Male,29,2016
Multiple disable,27011,local,Female,28,2016
Multiple disable,27011,local,Male,36,2016
No disability,27011,local,Female,47949,2016
No disability,27011,local,Male,50235,2016
Physical,27011,local,Female,145,2016
Physical,27011,local,Male,223,2016
Speech problem,27011,local,Female,43,2016
Speech problem,27011,local,Male,54,2016
Blind/low vision,55,district,Female,453,2016
Blind/low vision,55,district,Male,386,2016
Deaf/hard of hearing,55,district,Female,330,2016
Deaf/hard of hearing,55,district,Male,331,2016
Deaf-Blind,55,district,Female,50,2016
Deaf-Blind,55,district,Male,45,2016
Intellectual disable,55,district,Female,41,2016
Intellectual disable,55,district,Male,40,2016
Mental disable,55,district,Female,79,2016
Mental disable,55,district,Male,98,2016
Multiple disable,55,district,Female,153,2016
Multiple disable,55,district,Male,182,2016
No disability,55,district,Female,107177,2016
No disability,55,district,Male,89830,2016
Physical,55,district,Female,727,2016
Physical,55,district,Male,991,2016
Speech problem,55,district,Female,230,2016
Speech problem,55,district,Male,280,2016
Blind/low vision,21008,local,Female,33,2016
Blind/low vision,21008,local,Male,33,2016
Deaf/hard of hearing,21008,local,Female,32,2016
Deaf/hard of hearing,21008,local,Male,38,2016
Deaf-Blind,21008,local,Female,2,2016
Deaf-Blind,21008,local,Male,6,2016
Intellectual disable,21008,local,Female,5,2016
Intellectual disable,21008,local,Male,1,2016
Mental disable,21008,local,Female,6,2016
Mental disable,21008,local,Male,7,2016
Multiple disable,21008,local,Female,5,2016
Multiple disable,21008,local,Male,10,2016
No disability,21008,local,Female,9189,2016
No disability,21008,local,Male,8029,2016
Physical,21008,local,Female,56,2016
Physical,21008,local,Male,86,2016
Speech problem,21008,local,Female,30,2016
Speech problem,21008,local,Male,33,2016
Blind/low vision,21005,local,Female,71,2016
Blind/low vision,21005,local,Male,67,2016
Deaf/hard of hearing,21005,local,Female,58,2016
Deaf/hard of hearing,21005,local,Male,63,2016
Deaf-Blind,21005,local,Female,8,2016
Deaf-Blind,21005,local,Male,5,2016
Intellectual disable,21005,local,Female,10,2016
Intellectual disable,21005,local,Male,11,2016
Mental disable,21005,local,Female,14,2016
Mental disable,21005,local,Male,18,2016
Multiple disable,21005,local,Female,37,2016
Multiple disable,21005,local,Male,54,2016
No disability,21005,local,Female,24266,2016
No disability,21005,local,Male,20238,2016
Physical,21005,local,Female,157,2016
Physical,21005,local,Male,241,2016
Speech problem,21005,local,Female,45,2016
Speech problem,21005,local,Male,53,2016
Blind/low vision,21001,local,Female,91,2016
Blind/low vision,21001,local,Male,68,2016
Deaf/hard of hearing,21001,local,Female,56,2016
Deaf/hard of hearing,21001,local,Male,36,2016
Deaf-Blind,21001,local,Female,21,2016
Deaf-Blind,21001,local,Male,14,2016
Intellectual disable,21001,local,Female,6,2016
Intellectual disable,21001,local,Male,5,2016
Mental disable,21001,local,Female,8,2016
Mental disable,21001,local,Male,8,2016
Multiple disable,21001,local,Female,27,2016
Multiple disable,21001,local,Male,28,2016
No disability,21001,local,Female,12120,2016
No disability,21001,local,Male,10036,2016
Physical,21001,local,Female,73,2016
Physical,21001,local,Male,80,2016
Speech problem,21001,local,Female,34,2016
Speech problem,21001,local,Male,27,2016
Blind/low vision,21002,local,Female,43,2016
Blind/low vision,21002,local,Male,43,2016
Deaf/hard of hearing,21002,local,Female,26,2016
Deaf/hard of hearing,21002,local,Male,23,2016
Deaf-Blind,21002,local,Female,2,2016
Deaf-Blind,21002,local,Male,2,2016
Intellectual disable,21002,local,Female,3,2016
Intellectual disable,21002,local,Male,1,2016
Mental disable,21002,local,Female,14,2016
Mental disable,21002,local,Male,12,2016
Multiple disable,21002,local,Female,12,2016
Multiple disable,21002,local,Male,11,2016
No disability,21002,local,Female,10578,2016
No disability,21002,local,Male,9063,2016
Physical,21002,local,Female,80,2016
Physical,21002,local,Male,110,2016
Speech problem,21002,local,Female,16,2016
Speech problem,21002,local,Male,19,2016
Blind/low vision,21007,local,Female,48,2016
Blind/low vision,21007,local,Male,23,2016
Deaf/hard of hearing,21007,local,Female,54,2016
Deaf/hard of hearing,21007,local,Male,59,2016
Deaf-Blind,21007,local,Female,0,2016
Deaf-Blind,21007,local,Male,3,2016
Intellectual disable,21007,local,Female,6,2016
Intellectual disable,21007,local,Male,3,2016
Mental disable,21007,local,Female,6,2016
Mental disable,21007,local,Male,8,2016
Multiple disable,21007,local,Female,11,2016
Multiple disable,21007,local,Male,11,2016
No disability,21007,local,Female,9595,2016
No disability,21007,local,Male,8142,2016
Physical,21007,local,Female,42,2016
Physical,21007,local,Male,65,2016
Speech problem,21007,local,Female,18,2016
Speech problem,21007,local,Male,34,2016
Blind/low vision,21004,local,Female,32,2016
Blind/low vision,21004,local,Male,31,2016
Deaf/hard of hearing,21004,local,Female,24,2016
Deaf/hard of hearing,21004,local,Male,34,2016
Deaf-Blind,21004,local,Female,2,2016
Deaf-Blind,21004,local,Male,3,2016
Intellectual disable,21004,local,Female,1,2016
Intellectual disable,21004,local,Male,4,2016
Mental disable,21004,local,Female,10,2016
Mental disable,21004,local,Male,9,2016
Multiple disable,21004,local,Female,14,2016
Multiple disable,21004,local,Male,19,2016
No disability,21004,local,Female,12318,2016
No disability,21004,local,Male,10398,2016
Physical,21004,local,Female,73,2016
Physical,21004,local,Male,90,2016
Speech problem,21004,local,Female,20,2016
Speech problem,21004,local,Male,27,2016
Blind/low vision,21003,local,Female,80,2016
Blind/low vision,21003,local,Male,70,2016
Deaf/hard of hearing,21003,local,Female,44,2016
Deaf/hard of hearing,21003,local,Male,38,2016
Deaf-Blind,21003,local,Female,7,2016
Deaf-Blind,21003,local,Male,2,2016
Intellectual disable,21003,local,Female,3,2016
Intellectual disable,21003,local,Male,6,2016
Mental disable,21003,local,Female,11,2016
Mental disable,21003,local,Male,22,2016
Multiple disable,21003,local,Female,36,2016
Multiple disable,21003,local,Male,33,2016
No disability,21003,local,Female,13694,2016
No disability,21003,local,Male,11402,2016
Physical,21003,local,Female,103,2016
Physical,21003,local,Male,148,2016
Speech problem,21003,local,Female,21,2016
Speech problem,21003,local,Male,41,2016
Blind/low vision,21006,local,Female,55,2016
Blind/low vision,21006,local,Male,51,2016
Deaf/hard of hearing,21006,local,Female,36,2016
Deaf/hard of hearing,21006,local,Male,40,2016
Deaf-Blind,21006,local,Female,8,2016
Deaf-Blind,21006,local,Male,10,2016
Intellectual disable,21006,local,Female,7,2016
Intellectual disable,21006,local,Male,9,2016
Mental disable,21006,local,Female,10,2016
Mental disable,21006,local,Male,14,2016
Multiple disable,21006,local,Female,11,2016
Multiple disable,21006,local,Male,16,2016
No disability,21006,local,Female,15417,2016
No disability,21006,local,Male,12522,2016
Physical,21006,local,Female,143,2016
Physical,21006,local,Male,171,2016
Speech problem,21006,local,Female,46,2016
Speech problem,21006,local,Male,46,2016
Blind/low vision,48,district,Female,475,2016
Blind/low vision,48,district,Male,503,2016
Deaf/hard of hearing,48,district,Female,275,2016
Deaf/hard of hearing,48,district,Male,301,2016
Deaf-Blind,48,district,Female,40,2016
Deaf-Blind,48,district,Male,49,2016
Intellectual disable,48,district,Female,58,2016
Intellectual disable,48,district,Male,91,2016
Mental disable,48,district,Female,133,2016
Mental disable,48,district,Male,126,2016
Multiple disable,48,district,Female,183,2016
Multiple disable,48,district,Male,215,2016
No disability,48,district,Female,142243,2016
No disability,48,district,Male,128862,2016
Physical,48,district,Female,698,2016
Physical,48,district,Male,998,2016
Speech problem,48,district,Female,233,2016
Speech problem,48,district,Male,292,2016
Blind/low vision,28009,local,Female,46,2016
Blind/low vision,28009,local,Male,44,2016
Deaf/hard of hearing,28009,local,Female,29,2016
Deaf/hard of hearing,28009,local,Male,25,2016
Deaf-Blind,28009,local,Female,0,2016
Deaf-Blind,28009,local,Male,4,2016
Intellectual disable,28009,local,Female,1,2016
Intellectual disable,28009,local,Male,8,2016
Mental disable,28009,local,Female,9,2016
Mental disable,28009,local,Male,11,2016
Multiple disable,28009,local,Female,15,2016
Multiple disable,28009,local,Male,24,2016
No disability,28009,local,Female,10849,2016
No disability,28009,local,Male,9535,2016
Physical,28009,local,Female,50,2016
Physical,28009,local,Male,70,2016
Speech problem,28009,local,Female,18,2016
Speech problem,28009,local,Male,31,2016
Blind/low vision,28002,local,Female,57,2016
Blind/low vision,28002,local,Male,70,2016
Deaf/hard of hearing,28002,local,Female,37,2016
Deaf/hard of hearing,28002,local,Male,41,2016
Deaf-Blind,28002,local,Female,4,2016
Deaf-Blind,28002,local,Male,5,2016
Intellectual disable,28002,local,Female,13,2016
Intellectual disable,28002,local,Male,14,2016
Mental disable,28002,local,Female,23,2016
Mental disable,28002,local,Male,26,2016
Multiple disable,28002,local,Female,18,2016
Multiple disable,28002,local,Male,27,2016
No disability,28002,local,Female,28820,2016
No disability,28002,local,Male,24841,2016
Physical,28002,local,Female,125,2016
Physical,28002,local,Male,155,2016
Speech problem,28002,local,Female,26,2016
Speech problem,28002,local,Male,49,2016
Blind/low vision,28008,local,Female,26,2016
Blind/low vision,28008,local,Male,22,2016
Deaf/hard of hearing,28008,local,Female,13,2016
Deaf/hard of hearing,28008,local,Male,21,2016
Deaf-Blind,28008,local,Female,2,2016
Deaf-Blind,28008,local,Male,2,2016
Intellectual disable,28008,local,Female,3,2016
Intellectual disable,28008,local,Male,3,2016
Mental disable,28008,local,Female,5,2016
Mental disable,28008,local,Male,8,2016
Multiple disable,28008,local,Female,6,2016
Multiple disable,28008,local,Male,4,2016
No disability,28008,local,Female,8125,2016
No disability,28008,local,Male,7603,2016
Physical,28008,local,Female,31,2016
Physical,28008,local,Male,39,2016
Speech problem,28008,local,Female,23,2016
Speech problem,28008,local,Male,9,2016
Blind/low vision,28006,local,Female,12,2016
Blind/low vision,28006,local,Male,13,2016
Deaf/hard of hearing,28006,local,Female,13,2016
Deaf/hard of hearing,28006,local,Male,15,2016
Deaf-Blind,28006,local,Female,2,2016
Deaf-Blind,28006,local,Male,1,2016
Intellectual disable,28006,local,Female,1,2016
Intellectual disable,28006,local,Male,2,2016
Mental disable,28006,local,Female,5,2016
Mental disable,28006,local,Male,6,2016
Multiple disable,28006,local,Female,8,2016
Multiple disable,28006,local,Male,19,2016
No disability,28006,local,Female,8938,2016
No disability,28006,local,Male,7633,2016
Physical,28006,local,Female,42,2016
Physical,28006,local,Male,82,2016
Speech problem,28006,local,Female,24,2016
Speech problem,28006,local,Male,36,2016
Blind/low vision,28011,local,Female,42,2016
Blind/low vision,28011,local,Male,31,2016
Deaf/hard of hearing,28011,local,Female,17,2016
Deaf/hard of hearing,28011,local,Male,18,2016
Deaf-Blind,28011,local,Female,6,2016
Deaf-Blind,28011,local,Male,6,2016
Intellectual disable,28011,local,Female,3,2016
Intellectual disable,28011,local,Male,1,2016
Mental disable,28011,local,Female,10,2016
Mental disable,28011,local,Male,9,2016
Multiple disable,28011,local,Female,13,2016
Multiple disable,28011,local,Male,24,2016
No disability,28011,local,Female,8816,2016
No disability,28011,local,Male,8788,2016
Physical,28011,local,Female,32,2016
Physical,28011,local,Male,68,2016
Speech problem,28011,local,Female,16,2016
Speech problem,28011,local,Male,32,2016
Blind/low vision,28012,local,Female,31,2016
Blind/low vision,28012,local,Male,29,2016
Deaf/hard of hearing,28012,local,Female,15,2016
Deaf/hard of hearing,28012,local,Male,16,2016
Deaf-Blind,28012,local,Female,4,2016
Deaf-Blind,28012,local,Male,1,2016
Intellectual disable,28012,local,Female,5,2016
Intellectual disable,28012,local,Male,6,2016
Mental disable,28012,local,Female,11,2016
Mental disable,28012,local,Male,6,2016
Multiple disable,28012,local,Female,20,2016
Multiple disable,28012,local,Male,10,2016
No disability,28012,local,Female,8554,2016
No disability,28012,local,Male,6898,2016
Physical,28012,local,Female,34,2016
Physical,28012,local,Male,57,2016
Speech problem,28012,local,Female,11,2016
Speech problem,28012,local,Male,11,2016
Blind/low vision,28003,local,Female,75,2016
Blind/low vision,28003,local,Male,87,2016
Deaf/hard of hearing,28003,local,Female,34,2016
Deaf/hard of hearing,28003,local,Male,48,2016
Deaf-Blind,28003,local,Female,5,2016
Deaf-Blind,28003,local,Male,6,2016
Intellectual disable,28003,local,Female,7,2016
Intellectual disable,28003,local,Male,15,2016
Mental disable,28003,local,Female,15,2016
Mental disable,28003,local,Male,10,2016
Multiple disable,28003,local,Female,35,2016
Multiple disable,28003,local,Male,27,2016
No disability,28003,local,Female,10713,2016
No disability,28003,local,Male,10831,2016
Physical,28003,local,Female,63,2016
Physical,28003,local,Male,93,2016
Speech problem,28003,local,Female,14,2016
Speech problem,28003,local,Male,28,2016
Blind/low vision,28005,local,Female,18,2016
Blind/low vision,28005,local,Male,27,2016
Deaf/hard of hearing,28005,local,Female,8,2016
Deaf/hard of hearing,28005,local,Male,17,2016
Deaf-Blind,28005,local,Female,2,2016
Deaf-Blind,28005,local,Male,1,2016
Intellectual disable,28005,local,Female,6,2016
Intellectual disable,28005,local,Male,7,2016
